Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
4-4-4,16,196,1032,836,2.0,5.0,4.26530612244898,0.7652855395801806,0.5856619570905283
4-4-4,17,196,1002,806,2.0,5.0,4.112244897959184,0.6223636180327057,0.3873364730507596
4-4-4,18,196,1008,812,2.0,5.0,4.142857142857143,0.6793662204867573,0.4615384615384614
4-4-4,19,196,1047,851,3.0,6.0,4.341836734693878,0.9716413255494214,0.9440868655154366
4-4-4,2,196,1005,809,2.0,5.0,4.127551020408164,0.6633683452548302,0.4400575614861317
4-4-4,20,196,1038,842,3.0,6.0,4.295918367346939,0.9304995479238839,0.8658294086865522
4-4-4,21,196,999,803,3.0,5.0,4.096938775510204,0.6530330154818067,0.4264521193092615
4-4-4,22,196,1053,857,2.0,6.0,4.372448979591836,0.9221247050928322,0.8503139717425426
4-4-4,23,196,1017,821,2.0,5.0,4.188775510204081,0.7232948333926907,0.5231554160125602
4-4-4,24,196,1011,815,2.0,5.0,4.158163265306122,0.672145202473204,0.4517791732077443
4-4-4,25,196,1005,809,2.0,6.0,4.127551020408164,0.7296336435457325,0.5323652537938209
4-4-4,26,196,1020,824,2.0,5.0,4.204081632653061,0.7367173715948525,0.542752485609628
4-4-4,27,196,1041,845,3.0,6.0,4.311224489795919,0.9392176398401594,0.8821297749869192
4-4-4,28,196,1011,815,2.0,5.0,4.158163265306122,0.6721452024732041,0.45177917320774447
4-4-4,29,196,1032,836,2.0,6.0,4.26530612244898,0.8599465744665088,0.7395081109366827
4-4-4,3,196,1026,830,2.0,6.0,4.23469387755102,0.8202691291704292,0.6728414442700142
4-4-4,30,196,1047,851,3.0,6.0,4.341836734693878,0.9229188334884847,0.8517791732077454
4-4-4,31,196,1032,836,2.0,6.0,4.26530612244898,0.8599465744665106,0.7395081109366859
4-4-4,32,196,1041,845,2.0,6.0,4.311224489795919,0.8887193497832861,0.7898220826792268
4-4-4,33,196,1035,839,2.0,6.0,4.280612244897959,0.869914014408711,0.756750392464679
4-4-4,35,196,1017,821,2.0,5.0,4.188775510204081,0.7232948333926905,0.52315541601256
4-4-4,36,196,1008,812,3.0,6.0,4.142857142857143,0.7646014547562562,0.5846153846153832
4-4-4,37,196,1035,839,2.0,6.0,4.280612244897959,0.8699140144087107,0.7567503924646787
4-4-4,38,196,1008,812,2.0,5.0,4.142857142857143,0.6793662204867575,0.46153846153846173
4-4-4,39,196,1008,812,2.0,5.0,4.142857142857143,0.6793662204867574,0.46153846153846145
4-4-4,4,196,1026,830,2.0,6.0,4.23469387755102,0.8202691291704292,0.6728414442700142
4-4-4,41,196,1026,830,3.0,5.0,4.23469387755102,0.7818586718400918,0.6113029827315524
4-4-4,42,196,1008,812,2.0,5.0,4.142857142857143,0.6793662204867573,0.4615384615384614
4-4-4,43,196,1035,839,3.0,5.0,4.280612244897959,0.8151335474368533,0.6644427001569887
4-4-4,44,196,1053,857,2.0,6.0,4.372448979591836,0.9549096466582592,0.9118524332810013
4-4-4,45,196,1089,893,2.0,6.0,4.556122448979591,1.0822167493721688,1.1711930926216638
4-4-4,47,196,1008,812,2.0,5.0,4.142857142857143,0.6793662204867574,0.46153846153846145
4-4-4,48,196,1050,854,2.0,6.0,4.357142857142857,0.897289365326595,0.8051282051282037
4-4-4,49,196,1035,839,2.0,6.0,4.280612244897959,0.8699140144087115,0.7567503924646799
4-4-4,5,196,1068,872,2.0,6.0,4.448979591836734,1.0190236551904863,1.0384092098377793
4-4-4,50,196,1098,902,2.0,6.0,4.6020408163265305,1.0930061666691382,1.194662480376764
4-4-4,51,196,1011,815,2.0,5.0,4.158163265306122,0.6721452024732029,0.45177917320774286
4-4-4,52,196,1035,839,2.0,6.0,4.280612244897959,0.8699140144087107,0.7567503924646787
