Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,95,1,61,60,60.0,60.0,60.0,0.0,0.0
10-4-4,96,1,57,56,56.0,56.0,56.0,0.0,0.0
10-4-4,97,1,59,58,58.0,58.0,58.0,0.0,0.0
10-4-4,98,1,56,55,55.0,55.0,55.0,0.0,0.0
10-4-4,99,1,54,53,53.0,53.0,53.0,0.0,0.0
12-4-4,1,1,65,64,64.0,64.0,64.0,0.0,0.0
12-4-4,10,1,59,58,58.0,58.0,58.0,0.0,0.0
12-4-4,100,1,64,63,63.0,63.0,63.0,0.0,0.0
12-4-4,11,1,62,61,61.0,61.0,61.0,0.0,0.0
12-4-4,12,1,64,63,63.0,63.0,63.0,0.0,0.0
12-4-4,13,1,62,61,61.0,61.0,61.0,0.0,0.0
12-4-4,14,1,69,68,68.0,68.0,68.0,0.0,0.0
12-4-4,15,1,65,64,64.0,64.0,64.0,0.0,0.0
12-4-4,16,1,70,69,69.0,69.0,69.0,0.0,0.0
12-4-4,17,1,61,60,60.0,60.0,60.0,0.0,0.0
12-4-4,18,1,73,72,72.0,72.0,72.0,0.0,0.0
12-4-4,19,1,60,59,59.0,59.0,59.0,0.0,0.0
12-4-4,2,1,64,63,63.0,63.0,63.0,0.0,0.0
12-4-4,20,1,73,72,72.0,72.0,72.0,0.0,0.0
12-4-4,21,1,79,78,78.0,78.0,78.0,0.0,0.0
12-4-4,22,1,59,58,58.0,58.0,58.0,0.0,0.0
12-4-4,23,1,68,67,67.0,67.0,67.0,0.0,0.0
12-4-4,24,1,65,64,64.0,64.0,64.0,0.0,0.0
12-4-4,25,1,70,69,69.0,69.0,69.0,0.0,0.0
12-4-4,26,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,27,1,54,53,53.0,53.0,53.0,0.0,0.0
12-4-4,28,1,62,61,61.0,61.0,61.0,0.0,0.0
12-4-4,29,1,72,71,71.0,71.0,71.0,0.0,0.0
12-4-4,3,1,61,60,60.0,60.0,60.0,0.0,0.0
