Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
6-4-4,98,157,7110,6953,19.0,52.0,44.28662420382166,7.620864540946892,58.07757635146168
6-4-4,99,62,3160,3098,20.0,84.0,49.96774193548387,22.412648464895877,502.3268112109995
8-4-4,1,140,10549,10409,36.0,85.0,74.35,10.439221145731919,108.97733812949643
8-4-4,10,161,9762,9601,16.0,80.0,59.63354037267081,18.050515727048417,325.8211180124222
8-4-4,100,182,10765,10583,34.0,71.0,58.14835164835165,6.494789456603275,42.18229008560506
8-4-4,11,218,9872,9654,7.0,68.0,44.28440366972476,17.057015661694887,290.9417832833047
8-4-4,12,145,9972,9827,29.0,91.0,67.77241379310345,17.063909619259388,291.177011494253
8-4-4,13,197,9882,9685,18.0,64.0,49.16243654822335,8.778685350433896,77.0653164819227
8-4-4,14,135,7922,7787,9.0,72.0,57.681481481481484,10.706151009145382,114.62166943062468
8-4-4,15,162,10428,10266,29.0,82.0,63.37037037037037,16.480701640708386,271.61352657004807
8-4-4,16,173,9217,9044,23.0,74.0,52.27745664739884,15.462009346415263,239.07373302863294
8-4-4,17,218,11605,11387,4.0,68.0,52.23394495412844,13.440270461560855,180.64087007990526
8-4-4,18,134,9889,9755,24.0,91.0,72.79850746268656,15.240320409251096,232.2673661766355
8-4-4,19,159,9168,9009,6.0,88.0,56.660377358490564,24.29065304130696,590.0358251731551
8-4-4,2,161,8800,8639,10.0,85.0,53.65838509316771,24.23636358606169,587.401319875777
8-4-4,20,218,10438,10220,13.0,65.0,46.88073394495413,10.290458889636708,105.89354415930316
8-4-4,21,159,9583,9424,10.0,86.0,59.270440251572325,19.388005405467062,375.89475360242
8-4-4,22,111,8136,8025,25.0,100.0,72.29729729729729,19.439694439515247,377.90171990171996
8-4-4,23,151,9218,9067,5.0,85.0,60.04635761589403,24.95551715842794,622.7778366445914
8-4-4,24,123,9439,9316,34.0,92.0,75.73983739837398,13.83796002589479,191.48913767826213
8-4-4,25,161,10378,10217,3.0,87.0,63.45962732919254,18.136287447001063,328.9249223602484
8-4-4,26,121,9187,9066,38.0,87.0,74.92561983471074,12.169747524946304,148.1027548209367
8-4-4,28,226,10442,10216,12.0,57.0,45.20353982300885,10.82807814447473,117.24727630285133
8-4-4,29,158,9284,9126,16.0,83.0,57.75949367088608,15.374488911704942,236.3749092961382
8-4-4,3,156,8885,8729,11.0,88.0,55.95512820512821,23.991757441770464,575.6044251447485
8-4-4,30,110,7977,7867,19.0,95.0,71.51818181818182,18.96047642831417,359.4996663886572
8-4-4,31,143,9531,9388,14.0,87.0,65.65034965034965,21.29777437994064,453.595193538856
8-4-4,32,159,9632,9473,13.0,71.0,59.57861635220125,14.765844803361107,218.0301727569462
8-4-4,33,206,9118,8912,5.0,70.0,43.26213592233008,17.918493602324865,321.0724129765571
8-4-4,34,199,9894,9695,4.0,69.0,48.718592964824126,22.350540771035682,499.54667275772835
8-4-4,35,175,10814,10639,13.0,78.0,60.79428571428572,19.46210498321464,378.7735303776682
8-4-4,36,161,11007,10846,22.0,84.0,67.36645962732919,15.780006907869932,249.00861801242277
8-4-4,37,188,9404,9216,16.0,71.0,49.02127659574469,14.768066954417034,218.0958015701444
8-4-4,38,121,9312,9191,21.0,96.0,75.95867768595042,19.632624503707643,385.4399449035817
8-4-4,39,142,8226,8084,18.0,88.0,56.929577464788736,19.894633043453524,395.79642393367277
8-4-4,4,179,11396,11217,19.0,79.0,62.66480446927374,14.924508210548233,222.74094532672163
8-4-4,40,83,7032,6949,43.0,100.0,83.72289156626506,14.683916249247948,215.61739641492795
8-4-4,41,215,7263,7048,3.0,72.0,32.781395348837194,24.02692469279904,577.2931101934362
8-4-4,42,154,10161,10007,25.0,78.0,64.98051948051948,10.645488030834976,113.32641541465071
8-4-4,43,151,9880,9729,17.0,82.0,64.43046357615894,15.23352002822497,232.06013245033125
8-4-4,44,135,8316,8181,3.0,90.0,60.599999999999994,27.013871505790195,729.7492537313434
8-4-4,45,148,7871,7723,4.0,91.0,52.18243243243243,26.125556899226535,682.5447232947232
8-4-4,46,102,8404,8302,38.0,103.0,81.3921568627451,17.226020418549922,296.7357794602989
8-4-4,47,186,8835,8649,5.0,75.0,46.5,25.390411043797084,644.672972972973
8-4-4,48,203,10164,9961,4.0,66.0,49.068965517241374,13.818669120117189,190.9556162512804
8-4-4,49,163,10228,10065,11.0,91.0,61.7484662576687,20.67304070113162,427.3746118306444
8-4-4,5,172,9896,9724,19.0,75.0,56.53488372093024,13.633633741312263,185.8759689922482
8-4-4,50,152,9295,9143,18.0,86.0,60.15131578947368,23.822400240616393,567.50675322412
