Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,95,1,548,547,547.0,547.0,547.0,0.0,0.0
10-4-4,96,1,545,544,544.0,544.0,544.0,0.0,0.0
10-4-4,97,1,353,352,352.0,352.0,352.0,0.0,0.0
10-4-4,98,1,349,348,348.0,348.0,348.0,0.0,0.0
10-4-4,99,1,56,55,55.0,55.0,55.0,0.0,0.0
12-4-4,1,1,265,264,264.0,264.0,264.0,0.0,0.0
12-4-4,10,1,456,455,455.0,455.0,455.0,0.0,0.0
12-4-4,100,1,82,81,81.0,81.0,81.0,0.0,0.0
12-4-4,11,1,261,260,260.0,260.0,260.0,0.0,0.0
12-4-4,12,1,459,458,458.0,458.0,458.0,0.0,0.0
12-4-4,13,1,269,268,268.0,268.0,268.0,0.0,0.0
12-4-4,14,1,457,456,456.0,456.0,456.0,0.0,0.0
12-4-4,15,1,753,752,752.0,752.0,752.0,0.0,0.0
12-4-4,16,1,556,555,555.0,555.0,555.0,0.0,0.0
12-4-4,17,1,260,259,259.0,259.0,259.0,0.0,0.0
12-4-4,18,1,368,367,367.0,367.0,367.0,0.0,0.0
12-4-4,19,1,355,354,354.0,354.0,354.0,0.0,0.0
12-4-4,2,1,363,362,362.0,362.0,362.0,0.0,0.0
12-4-4,20,1,560,559,559.0,559.0,559.0,0.0,0.0
12-4-4,21,1,285,284,284.0,284.0,284.0,0.0,0.0
12-4-4,22,1,67,66,66.0,66.0,66.0,0.0,0.0
12-4-4,23,1,268,267,267.0,267.0,267.0,0.0,0.0
12-4-4,24,1,357,356,356.0,356.0,356.0,0.0,0.0
12-4-4,25,1,364,363,363.0,363.0,363.0,0.0,0.0
12-4-4,26,1,456,455,455.0,455.0,455.0,0.0,0.0
12-4-4,27,1,450,449,449.0,449.0,449.0,0.0,0.0
12-4-4,28,1,75,74,74.0,74.0,74.0,0.0,0.0
12-4-4,29,1,277,276,276.0,276.0,276.0,0.0,0.0
12-4-4,3,1,556,555,555.0,555.0,555.0,0.0,0.0
12-4-4,30,1,461,460,460.0,460.0,460.0,0.0,0.0
12-4-4,31,1,457,456,456.0,456.0,456.0,0.0,0.0
12-4-4,32,1,79,78,78.0,78.0,78.0,0.0,0.0
12-4-4,33,1,363,362,362.0,362.0,362.0,0.0,0.0
12-4-4,34,1,456,455,455.0,455.0,455.0,0.0,0.0
12-4-4,35,1,452,451,451.0,451.0,451.0,0.0,0.0
12-4-4,36,1,551,550,550.0,550.0,550.0,0.0,0.0
12-4-4,37,1,272,271,271.0,271.0,271.0,0.0,0.0
12-4-4,38,1,89,88,88.0,88.0,88.0,0.0,0.0
12-4-4,39,1,362,361,361.0,361.0,361.0,0.0,0.0
12-4-4,4,1,455,454,454.0,454.0,454.0,0.0,0.0
12-4-4,40,1,660,659,659.0,659.0,659.0,0.0,0.0
12-4-4,41,1,364,363,363.0,363.0,363.0,0.0,0.0
