Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
20-4-4,50,53,399,346,2.0,11.0,6.528301886792454,2.5389562784803585,6.446298984034831
20-4-4,51,53,320,267,3.0,9.0,5.037735849056604,1.5806797971727637,2.4985486211901295
20-4-4,52,48,293,245,3.0,9.0,5.104166666666666,1.7773944991683073,3.1591312056737575
20-4-4,53,52,367,315,2.0,10.0,6.057692307692308,2.4607783045722327,6.055429864253392
20-4-4,54,54,326,272,3.0,8.0,5.037037037037036,1.6930820725123619,2.8665269042627544
20-4-4,55,54,320,266,2.0,7.0,4.925925925925926,1.2567080664262578,1.5793151642208236
20-4-4,56,55,390,335,2.0,10.0,6.090909090909092,2.0482397797343443,4.195286195286195
20-4-4,57,51,326,275,2.0,9.0,5.392156862745099,1.7097184724105783,2.9231372549019614
20-4-4,58,52,307,255,3.0,7.0,4.903846153846154,1.3756939836502824,1.8925339366515832
20-4-4,59,52,329,277,2.0,9.0,5.326923076923077,1.7458202616889515,3.0478883861236796
20-4-4,6,47,318,271,3.0,10.0,5.76595744680851,2.0239088950694315,4.096207215541167
20-4-4,60,50,410,360,2.0,12.0,7.200000000000001,2.6649654437396606,7.102040816326526
20-4-4,61,50,295,245,3.0,7.0,4.9,1.1111677990074318,1.2346938775510201
20-4-4,62,51,332,281,3.0,11.0,5.509803921568628,2.51692311380072,6.334901960784314
20-4-4,63,54,330,276,3.0,8.0,5.111111111111111,1.6097189097955762,2.5911949685534585
20-4-4,64,55,356,301,2.0,8.0,5.472727272727273,1.6313428398958518,2.6612794612794626
20-4-4,65,52,316,264,2.0,8.0,5.076923076923077,1.4665706810768677,2.1508295625942675
20-4-4,66,48,298,250,3.0,8.0,5.208333333333333,1.6237379168742212,2.6365248226950353
20-4-4,67,52,347,295,2.0,9.0,5.673076923076923,2.016803468179518,4.067496229260932
20-4-4,68,53,408,355,2.0,13.0,6.69811320754717,3.1658326505917804,10.022496371552977
20-4-4,69,55,348,293,2.0,9.0,5.327272727272727,1.8059012878004876,3.26127946127946
20-4-4,7,50,425,375,2.0,12.0,7.5,3.045572229332549,9.275510204081632
20-4-4,70,52,312,260,2.0,7.0,5.0,1.1715583722580123,1.3725490196078431
20-4-4,71,53,345,292,2.0,8.0,5.509433962264151,1.5519546175640024,2.408563134978229
20-4-4,72,53,320,267,3.0,8.0,5.037735849056604,1.580679797172764,2.49854862119013
20-4-4,73,51,352,301,2.0,9.0,5.901960784313726,2.1190082771030814,4.49019607843137
