Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score			
12-4-4	55	154208	1568	152640	1%			
12-4-4	56	154208	1568	152640	1%			
12-4-4	57	154208	3542	150666	2%			
12-4-4	58	154208	3294	150914	2%			
12-4-4	59	154208	3294	150914	2%			
12-4-4	6	154208	3542	150666	2%			
12-4-4	60	154208	4765	149443	3%			
12-4-4	61	154208	3294	150914	2%			
12-4-4	62	154208	6839	147369	4%			
12-4-4	63	154208	1568	152640	1%			
12-4-4	64	154208	1568	152640	1%			
12-4-4	65	154208	6996	147212	5%			
12-4-4	66	154208	5106	149102	3%			
12-4-4	67	154208	8317	145891	5%			
12-4-4	68	154208	1568	152640	1%			
12-4-4	69	154208	1568	152640	1%			
12-4-4	7	154208	1568	152640	1%			
12-4-4	70	154208	6838	147370	4%			
12-4-4	71	154208	1568	152640	1%			
12-4-4	72	154208	1568	152640	1%			
12-4-4	73	154208	4944	149264	3%			
12-4-4	74	154208	3294	150914	2%			
12-4-4	75	154208	5106	149102	3%			
12-4-4	76	154208	5024	149184	3%			
12-4-4	77	154208	1568	152640	1%			
12-4-4	78	154208	3542	150666	2%			
12-4-4	79	154208	5017	149191	3%			
12-4-4	8	154208	3294	150914	2%			
12-4-4	80	154208	1568	152640	1%			
12-4-4	81	154208	1568	152640	1%			
12-4-4	82	154208	1568	152640	1%			
12-4-4	83	154208	1568	152640	1%			
12-4-4	84	154208	4765	149443	3%			
12-4-4	85	154208	1568	152640	1%			
12-4-4	86	154208	16929	137279	11%			
12-4-4	87	154208	5106	149102	3%			
12-4-4	88	154208	1568	152640	1%			
12-4-4	89	154208	1568	152640	1%			
12-4-4	9	154208	3370	150838	2%			
12-4-4	90	154208	6922	147286	4%			
12-4-4	91	154208	3294	150914	2%			
12-4-4	92	154208	1568	152640	1%			
12-4-4	93	154208	6670	147538	4%			
12-4-4	94	154208	5103	149105	3%			
12-4-4	95	154208	1568	152640	1%			
12-4-4	96	154208	3294	150914	2%			
12-4-4	97	154208	1568	152640	1%			
12-4-4	99	154208	6841	147367	4%			
14-4-4	1	154208	3294	150914	2%			
14-4-4	10	154208	1568	152640	1%			
14-4-4	100	154208	1568	152640	1%			
14-4-4	11	154208	1568	152640	1%			
