Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,75,14,285,271,12.0,24.0,19.357142857142858,4.011658833127089,16.093406593406595
10-4-4,76,13,280,267,13.0,24.0,20.53846153846154,3.8646988803653817,14.935897435897436
10-4-4,77,12,293,281,21.0,25.0,23.416666666666668,1.443375672974064,2.0833333333333326
10-4-4,78,11,257,246,18.0,26.0,22.363636363636363,3.074824459143229,9.454545454545453
10-4-4,79,6,175,169,24.0,33.0,28.166666666666668,3.6009258068817065,12.966666666666669
10-4-4,8,10,240,230,16.0,30.0,23.0,4.570436400267363,20.88888888888889
10-4-4,80,12,253,241,18.0,22.0,20.083333333333332,1.4433756729740645,2.0833333333333335
10-4-4,81,10,251,241,21.0,26.0,24.1,1.5951314818673867,2.544444444444445
10-4-4,82,12,249,237,5.0,27.0,19.75,7.664854858377946,58.75
10-4-4,83,9,203,194,19.0,24.0,21.555555555555557,1.8104634152000356,3.277777777777777
10-4-4,84,10,216,206,19.0,24.0,20.6,1.4298407059684812,2.0444444444444447
10-4-4,85,10,254,244,18.0,28.0,24.4,3.0258148581093907,9.155555555555553
10-4-4,86,10,263,253,19.0,30.0,25.3,3.973523485382827,15.788888888888888
10-4-4,87,8,168,160,16.0,29.0,20.0,5.31843156256751,28.285714285714285
10-4-4,88,7,179,172,16.0,29.0,24.571428571428573,4.2370250120079485,17.952380952380953
10-4-4,89,10,225,215,18.0,27.0,21.5,2.5055493963954847,6.277777777777778
10-4-4,9,8,169,161,3.0,29.0,20.125,10.855380496062113,117.83928571428571
10-4-4,90,10,247,237,17.0,28.0,23.7,4.347413023856832,18.900000000000002
10-4-4,91,8,230,222,26.0,29.0,27.75,1.0350983390135313,1.0714285714285714
10-4-4,93,15,264,249,9.0,21.0,16.6,3.541589635016618,12.542857142857141
10-4-4,94,13,272,259,6.0,28.0,19.923076923076923,7.041088202609244,49.57692307692307
10-4-4,95,10,200,190,15.0,22.0,19.0,2.0548046676563256,4.222222222222222
10-4-4,96,12,225,213,12.0,23.0,17.75,4.6539328432080875,21.65909090909091
10-4-4,97,13,289,276,17.0,25.0,21.23076923076923,2.9198700357449177,8.525641025641026
10-4-4,98,11,227,216,14.0,26.0,19.636363636363637,4.410730716621165,19.454545454545457
10-4-4,99,13,281,268,12.0,27.0,20.615384615384617,5.73786344583739,32.92307692307693
12-4-4,1,10,278,268,11.0,34.0,26.8,9.2951600308978,86.39999999999999
12-4-4,10,8,301,293,20.0,43.0,36.625,8.016723591521485,64.26785714285714
12-4-4,100,8,310,302,32.0,43.0,37.75,3.9910614413425693,15.928571428571429
12-4-4,11,10,313,303,10.0,45.0,30.3,14.476417604734491,209.5666666666667
12-4-4,12,12,361,349,21.0,33.0,29.083333333333332,3.4498572653828963,11.901515151515154
12-4-4,13,8,318,310,29.0,46.0,38.75,6.584614100852293,43.357142857142854
12-4-4,14,14,392,378,17.0,35.0,27.0,5.14407799916938,26.46153846153846
12-4-4,15,12,302,290,9.0,36.0,24.166666666666668,11.142329879855252,124.15151515151514
12-4-4,16,16,469,453,23.0,35.0,28.3125,4.43799879825731,19.695833333333333
12-4-4,17,12,349,337,3.0,40.0,28.083333333333336,15.198434927400395,230.99242424242428
12-4-4,18,12,402,390,15.0,41.0,32.5,9.020179397530647,81.36363636363636
12-4-4,19,9,284,275,13.0,40.0,30.555555555555557,10.137937550497032,102.77777777777777
12-4-4,2,12,351,339,12.0,38.0,28.25,10.532417489912664,110.93181818181819
12-4-4,20,11,339,328,17.0,34.0,29.818181818181817,5.211874553712548,27.163636363636364
12-4-4,21,17,437,420,18.0,30.0,24.705882352941178,3.653161402852893,13.345588235294118
12-4-4,22,11,294,283,6.0,39.0,25.727272727272727,11.296821757387422,127.61818181818182
12-4-4,23,9,345,336,24.0,44.0,37.333333333333336,6.98212002188447,48.75
12-4-4,24,15,460,445,18.0,38.0,29.666666666666664,6.693991620066745,44.80952380952381
12-4-4,25,12,321,309,21.0,35.0,25.75,4.956630086881794,24.568181818181817
12-4-4,26,10,331,321,21.0,38.0,32.1,5.425249610233001,29.43333333333333
12-4-4,27,9,317,308,25.0,44.0,34.22222222222222,6.591239977761729,43.44444444444444
12-4-4,28,10,334,324,20.0,46.0,32.4,8.83427667918797,78.04444444444445
12-4-4,29,13,273,260,7.0,37.0,20.0,12.110601416389967,146.66666666666666
12-4-4,3,12,475,463,34.0,41.0,38.583333333333336,2.2343733444579583,4.992424242424241
12-4-4,30,15,471,456,15.0,35.0,30.4,5.539468772880148,30.685714285714287
12-4-4,31,10,380,370,34.0,39.0,37.0,1.7638342073763937,3.111111111111111
12-4-4,32,9,314,305,25.0,44.0,33.888888888888886,7.078920193865101,50.111111111111114
12-4-4,33,10,355,345,24.0,42.0,34.5,7.306770072260991,53.388888888888886
12-4-4,34,13,370,357,8.0,38.0,27.46153846153846,9.22510509981128,85.1025641025641
12-4-4,35,8,275,267,26.0,39.0,33.375,3.6228441865473595,13.125
12-4-4,36,12,342,330,15.0,36.0,27.5,6.802405991465613,46.27272727272727
12-4-4,37,12,293,281,13.0,31.0,23.416666666666668,6.881573991904803,47.3560606060606
