Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
20-4-4,15,50,535,485,2.0,19.0,9.7,4.106987574704299,16.867346938775505
20-4-4,16,52,490,438,2.0,16.0,8.423076923076923,3.2439757369934363,10.52337858220211
20-4-4,17,57,471,414,2.0,12.0,7.2631578947368425,2.510878586908473,6.3045112781954895
20-4-4,18,55,434,379,2.0,12.0,6.890909090909091,2.629411476700579,6.913804713804721
20-4-4,19,55,479,424,3.0,14.0,7.709090909090909,2.941860882935401,8.654545454545458
20-4-4,2,56,440,384,3.0,13.0,6.857142857142858,2.4748081389625587,6.124675324675323
20-4-4,20,55,545,490,2.0,15.0,8.90909090909091,3.9028609035325905,15.23232323232323
20-4-4,21,55,457,402,3.0,12.0,7.309090909090908,2.6588268596056173,7.069360269360268
20-4-4,22,54,433,379,3.0,11.0,7.018518518518518,1.8170133148777554,3.3015373864430493
20-4-4,23,52,456,404,3.0,15.0,7.769230769230769,3.233497375758126,10.455505279034687
20-4-4,24,54,516,462,2.0,13.0,8.555555555555555,3.0755681583823415,9.45911949685535
20-4-4,25,53,427,374,3.0,9.0,7.056603773584906,1.703109083859266,2.9005805515239484
20-4-4,26,56,512,456,3.0,16.0,8.142857142857142,3.914674357424296,15.324675324675328
20-4-4,27,52,436,384,3.0,11.0,7.384615384615384,1.981817804429749,3.927601809954751
20-4-4,28,53,419,366,3.0,11.0,6.905660377358491,2.371822983920533,5.6255442670537
20-4-4,29,53,441,388,2.0,11.0,7.320754716981133,2.351542741606523,5.529753265602323
20-4-4,3,55,448,393,3.0,12.0,7.1454545454545455,2.5706187597698746,6.608080808080809
20-4-4,30,56,448,392,3.0,11.0,7.0,1.916436086262016,3.672727272727273
20-4-4,31,51,439,388,3.0,13.0,7.607843137254901,2.836042534043162,8.04313725490196
20-4-4,32,52,442,390,3.0,13.0,7.5,2.388698882852583,5.705882352941177
20-4-4,33,50,385,335,3.0,10.0,6.7,1.705333769473332,2.908163265306123
20-4-4,34,50,490,440,2.0,13.0,8.8,2.8212025225902138,7.9591836734693855
20-4-4,35,54,485,431,3.0,13.0,7.981481481481482,2.6313834566396834,6.9241788958770085
20-4-4,36,53,526,473,3.0,15.0,8.924528301886792,3.518353289448902,12.37880986937591
20-4-4,37,54,399,345,2.0,9.0,6.388888888888889,1.5831264346779448,2.5062893081761013
20-4-4,38,55,488,433,3.0,14.0,7.872727272727272,3.372297521333278,11.37239057239057
20-4-4,39,56,513,457,3.0,16.0,8.160714285714286,3.581654192303712,12.828246753246754
20-4-4,4,54,436,382,2.0,10.0,7.074074074074074,2.026725697032846,4.107617051013275
20-4-4,40,57,491,434,3.0,14.0,7.614035087719298,3.10963012249799,9.669799498746865
20-4-4,41,54,492,438,3.0,17.0,8.11111111111111,4.276600072031593,18.289308176100626
20-4-4,42,56,493,437,2.0,12.0,7.803571428571428,2.400148804910705,5.760714285714286
20-4-4,43,52,458,406,3.0,14.0,7.807692307692308,3.2602084712512016,10.628959276018097
20-4-4,44,52,395,343,3.0,12.0,6.596153846153846,2.1626020582025203,4.676847662141777
20-4-4,45,55,430,375,3.0,10.0,6.8181818181818175,2.3419753382238007,5.484848484848485
20-4-4,46,53,427,374,3.0,11.0,7.056603773584905,2.0514075312370914,4.208272859216257
20-4-4,47,53,456,403,3.0,13.0,7.60377358490566,2.4987660234719957,6.243831640058051
20-4-4,48,50,473,423,3.0,16.0,8.46,3.6712340137443524,13.477959183673468
20-4-4,49,54,636,582,2.0,20.0,10.777777777777779,5.325859543229979,28.364779874213838
20-4-4,5,52,468,416,2.0,14.0,8.0,3.307744922237541,10.941176470588236
20-4-4,50,53,506,453,2.0,16.0,8.547169811320755,3.5113335059262534,12.329462989840355
20-4-4,51,53,414,361,3.0,14.0,6.811320754716981,2.5873702403255887,6.694484760522495
20-4-4,52,48,405,357,3.0,15.0,7.4375,3.319229915815196,11.017287234042554
20-4-4,53,52,481,429,2.0,15.0,8.25,3.80337827128854,14.465686274509803
20-4-4,54,54,472,418,3.0,14.0,7.7407407407407405,3.0603069594786407,9.365478686233404
20-4-4,55,54,403,349,2.0,11.0,6.462962962962963,2.071486231223743,4.291055206149547
20-4-4,56,55,542,487,3.0,16.0,8.854545454545454,3.466336425606755,12.015488215488213
20-4-4,57,51,424,373,3.0,13.0,7.313725490196079,2.782015068819228,7.739607843137253
20-4-4,58,52,404,352,3.0,10.0,6.769230769230769,1.8323389597310906,3.357466063348415
20-4-4,59,52,476,424,2.0,14.0,8.153846153846153,3.146019055478827,9.897435897435892
20-4-4,6,47,412,365,3.0,14.0,7.76595744680851,2.7835914083400684,7.748381128584645
20-4-4,60,51,607,556,2.0,19.0,10.901960784313724,4.437363640545068,19.690196078431377
20-4-4,61,50,412,362,3.0,12.0,7.24,2.395233361729678,5.737142857142854
20-4-4,62,52,473,421,4.0,18.0,8.096153846153847,4.257678716659894,18.127828054298647
20-4-4,63,54,449,395,3.0,12.0,7.314814814814814,2.8670152389120194,8.219776380153744
20-4-4,64,56,473,417,3.0,12.0,7.446428571428572,2.6140852240203563,6.833441558441557
20-4-4,65,52,438,386,2.0,13.0,7.423076923076923,2.7959785816885177,7.817496229260935
20-4-4,66,48,414,366,3.0,11.0,7.625,2.573390841969388,6.622340425531915
20-4-4,67,53,475,422,2.0,13.0,7.962264150943395,2.868678764162931,8.229317851959363
20-4-4,68,54,588,534,3.0,20.0,9.88888888888889,5.056908842764042,25.57232704402516
20-4-4,69,56,465,409,2.0,14.0,7.303571428571428,2.990406739480847,8.94253246753247
20-4-4,7,51,571,520,2.0,16.0,10.196078431372548,4.372731905082393,19.120784313725494
20-4-4,70,52,440,388,2.0,11.0,7.461538461538462,2.0045197797755234,4.018099547511312
20-4-4,71,54,446,392,3.0,13.0,7.2592592592592595,2.4815179863184715,6.157931516422082
20-4-4,72,54,410,356,3.0,11.0,6.5925925925925934,2.123707318413655,4.510132774283718
20-4-4,73,52,510,458,3.0,14.0,8.807692307692308,3.29609669058193,10.864253393665154
20-4-4,74,47,451,404,2.0,13.0,8.595744680851064,2.3559321469900385,5.550416281221092
20-4-4,75,52,506,454,3.0,15.0,8.730769230769232,3.4590908054868006,11.965309200603322
20-4-4,76,54,508,454,3.0,13.0,8.407407407407408,2.4688131631739725,6.095038434661076
20-4-4,77,51,516,465,2.0,17.0,9.117647058823529,4.3664496278946325,19.065882352941177
20-4-4,78,55,473,418,2.0,14.0,7.6,2.966479394838266,8.800000000000006
20-4-4,8,54,513,459,2.0,15.0,8.5,2.8731023269511433,8.254716981132075
20-4-4,80,50,477,427,2.0,13.0,8.54,2.2150689858884522,4.906530612244896
20-4-4,81,53,391,338,4.0,9.0,6.377358490566038,1.228294863971683,1.5087082728592154
20-4-4,82,53,389,336,3.0,10.0,6.339622641509434,1.7968283620185947,3.228592162554426
20-4-4,84,52,581,529,2.0,19.0,10.173076923076925,4.937734472352377,24.381221719457006
